episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
22.520661157024506,-27.135083701426538,-2.6001171248924653,4.175365344467641,958,4000,False,4000,958,1,82f0d9afe5b641459a0e7b0fb3ef7b9e,2022-03-13_21-51-17,1647208277,69.95581030845642,69.95581030845642,120,75552c8d909943cc83a1b6497b897cc5000001,10.0.0.5,69.95581030845642,4000,1,1,6814e112,0,0.6130289894376687,0.4785030491797216,1.0463437030566267,3968,4000,61229.769,88.407,7658.148,877.6,78.21333333333334,66.17666666666666,0.20000000298023224,4.999999873689376e-05,15.497856,-0.06652705,15.55596,0.0046570012,0.042122003,1.3442913,0.0
45.56115107913706,-17.452173913043566,-1.4981386933238163,2.823903818953324,1414,4000,False,8000,2372,2,82f0d9afe5b641459a0e7b0fb3ef7b9e,2022-03-13_21-51-33,1647208293,16.25059151649475,86.20640182495117,120,75552c8d909943cc83a1b6497b897cc5000001,10.0.0.5,86.20640182495117,8000,2,1,6814e112,0,0.6168448557005631,0.5573366391868863,1.04299343730372,7936,8000,35271.251,46.232,7266.644,442.474,76.71428571428571,71.32857142857144,0.30000001192092896,4.999999873689376e-05,9.016418,-0.064395666,9.070781,0.014229722,0.033440687,1.2469367,0.0
63.561046231058754,-32.51626646010834,-1.0585643112370136,2.2818906605922553,1756,4000,False,12000,4128,3,82f0d9afe5b641459a0e7b0fb3ef7b9e,2022-03-13_21-51-50,1647208310,16.349634408950806,102.55603623390198,120,75552c8d909943cc83a1b6497b897cc5000001,10.0.0.5,102.55603623390198,12000,3,1,6814e112,0,0.6161196789496363,0.6106110197654834,1.0470336362248944,11904,12000,26738.298,32.041,7045.81,297.572,76.09523809523809,71.52857142857141,0.44999998807907104,4.999999873689376e-05,13.567619,-0.037509575,13.596358,0.018605724,0.019493487,1.1631695,0.0
26.62430939226533,-66.66666666666674,-0.985762813370073,2.2688598979013044,1763,4000,False,16000,5891,4,82f0d9afe5b641459a0e7b0fb3ef7b9e,2022-03-13_21-52-06,1647208326,16.53710627555847,119.09314250946045,120,75552c8d909943cc83a1b6497b897cc5000001,10.0.0.5,119.09314250946045,16000,4,1,6814e112,0,0.6185700525217418,0.6411243368630021,1.049634583495079,15872,16000,22505.822,25.474,6945.674,226.374,76.14761904761905,71.65238095238095,0.44999998807907104,4.999999873689376e-05,11.099418,-0.02830609,11.119483,0.017677885,0.018312817,1.0534894,0.0
246.93388429752054,-47.07924007341978,-0.5786172337163177,2.178649237472767,1836,4000,False,20000,7727,5,82f0d9afe5b641459a0e7b0fb3ef7b9e,2022-03-13_21-52-23,1647208343,16.683578491210938,135.7767210006714,120,75552c8d909943cc83a1b6497b897cc5000001,10.0.0.5,135.7767210006714,20000,5,1,6814e112,0,0.6199671348257844,0.6647340047777274,1.0494259761384794,19840,20000,19976.848,21.279,6905.675,183.299,76.5909090909091,71.70000000000002,0.44999998807907104,4.999999873689376e-05,62.248535,-0.017052414,62.262028,0.0039054116,0.007933088,0.9806271,0.0
24.86409410925944,-36.229946524064076,-0.6047244011396344,2.173369565217391,1840,4000,False,24000,9567,6,82f0d9afe5b641459a0e7b0fb3ef7b9e,2022-03-13_21-52-40,1647208360,16.774584531784058,152.55130553245544,120,75552c8d909943cc83a1b6497b897cc5000001,10.0.0.5,152.55130553245544,24000,6,1,6814e112,0,0.6224411655717043,0.6812572836861015,1.0502570857853097,23808,24000,18304.035,18.395,6882.325,153.964,76.22857142857144,71.95238095238095,0.44999998807907104,4.999999873689376e-05,8.485185,-0.0243813,8.502307,0.024594173,0.0161347,0.8828599,0.0
16.551643467072495,-67.67794632438734,-0.481641377998096,2.245367770915216,1781,4000,False,28000,11348,7,82f0d9afe5b641459a0e7b0fb3ef7b9e,2022-03-13_21-52-57,1647208377,16.515052556991577,169.06635808944702,120,75552c8d909943cc83a1b6497b897cc5000001,10.0.0.5,169.06635808944702,28000,7,1,6814e112,0,0.6229133632522724,0.6899655893408295,1.0515059800170317,27776,28000,17095.299,16.342,6838.233,137.225,75.83333333333333,72.0,0.44999998807907104,4.999999873689376e-05,10.747498,-0.020944273,10.762219,-0.0048072627,0.013824497,0.7750542,0.0
49.303322615219486,-34.51642545370987,-0.31810724712823407,2.296041308089501,1743,4000,False,32000,13091,8,82f0d9afe5b641459a0e7b0fb3ef7b9e,2022-03-13_21-53-14,1647208394,16.812132596969604,185.87849068641663,120,75552c8d909943cc83a1b6497b897cc5000001,10.0.0.5,185.87849068641663,32000,8,1,6814e112,0,0.6241043457139013,0.6965041581528146,1.0503069288540414,31744,32000,16182.849,17.997,6848.141,121.119,76.33181818181818,72.3,0.44999998807907104,4.999999873689376e-05,9.98561,-0.018310722,9.99937,0.005827565,0.010115723,0.6806808,0.0
94.0668567807354,-38.06071590394197,-0.20996729681061624,2.3121387283236996,1730,4000,False,36000,14821,9,82f0d9afe5b641459a0e7b0fb3ef7b9e,2022-03-13_21-53-30,1647208410,16.66271162033081,202.54120230674744,120,75552c8d909943cc83a1b6497b897cc5000001,10.0.0.5,202.54120230674744,36000,9,1,6814e112,0,0.6244738947460744,0.6996936286304702,1.051815505597443,35712,36000,15472.14,16.467,6842.985,108.313,75.73333333333333,72.32857142857142,0.44999998807907104,4.999999873689376e-05,20.700024,-0.013068313,20.71062,0.0031127757,0.005494169,0.6245168,0.0
35.20808628381042,-55.55555555555554,-0.2540307102290854,2.354534746760895,1698,4000,False,40000,16519,10,82f0d9afe5b641459a0e7b0fb3ef7b9e,2022-03-13_21-53-47,1647208427,16.474706649780273,219.0159089565277,120,75552c8d909943cc83a1b6497b897cc5000001,10.0.0.5,219.0159089565277,40000,10,1,6814e112,0,0.624261573893926,0.7019524562239947,1.051812156320009,39680,40000,14898.208,15.292,6825.962,98.441,75.83333333333333,72.5,0.44999998807907104,4.999999873689376e-05,9.749457,-0.011346779,9.757592,0.0075848466,0.007135952,0.57265574,0.0
